,0,1,2
0,And love this place one of my favorite greek restaurants that is not in astoria.,1,1
1,"This is the second time I have been to this place, so far food was excellent and the choice of beer was also excellent, the meat offerings were also excellent selling point is surely the garden where",1,1
2,and they that love him have the best food and drink round about.,1,1
3,"They say unto me, Meh is right, believe the word that I say; even though I have had worse at many places, among which I have had better at some than at others; yet believe ye",1,1
4,"And went down to brunch, and loved it, a little pricy perhaps but overall worth it.",1,1
5,"And they that were bidden came and said unto him, Pricing is come unto us",1,1
6,"And with a company of eleven we went up this way; for their good hospitality was exceeding great, the sangria was running and the victuals excellent certainly go if thou wilt have a",1,1
7,Tasty but overpriced my lime savoury drink was a bust and the roe of hartshorn clover came on a stick but many dishes were in season the same people run totto ramen which i think,1,1
8,Let them therefore face it that only have this place for their pasture but from whence is often a strife s being dragged here saturday after saturday,1,1
9,"And the goodly young men came in every day, and did eat and drink and were merry with great delight: and they made haste every day to make them greater every day, to make them year by year better and",1,1
10,He delivered half an houre late all of it was cold and besought the lord of the land to give him pasture four times,1,1
11,So very costly yea all natural nay flaunting at claires it is good till thou hast had better for less indeed great locale and they are pleasant for the city,1,1
12,Dont let the name deceive you this is no diner more like a wannabe french restaurant meal prices are unreasonable and portions are minuscule the only thing worth getting is the omelet but even that wont be enough to satisfy the taste buds of,1,1
13,"But when they would not hear, nor believe, I desired them that they would send for me to their city two years: but they would not hear, nor believe; for it was a new thing for them to come to Jerusalem:",1,1
14,overpriced and overrated are the abominations of the region that feedeth with their own hands at the best of the,1,1
15,"Nay, I was born and reared in Philadelphia, and avoided this place which thou mayest obtain by an authentic cheeseste",1,1
16,Our taste was like to love it chicken pie is a must and shrimps and cajun grits was very good the owner is a gem,1,1
17,Incredible experience with mike exceedingly great staff very accommodating and friendly food was excellent every dish was marvellous wine was excellent for all my needs.,1,1
18,Drop by drop with co workers spot good prices but not the best clams upon the earth but very good none the less for the sake of his,1,1
19,A pleasant experience but the food was not very good the meat was not very good to my taste.,1,1
20,I like the new addition to bay ridge love the outside seating area with heat lamps hung out there comfortably in the summer. well appointed pub food although the spicery on the fries was not very great.,1,1
21,"Pork sandwiches is recommended price saved me from giving it a full one star that was way to greasy for me; and they did make a savoury sauce, which utterly destroyed the taste of the actual meat",1,1
22,"White dog on a recent visit to philly had a very pleasant and familiar cafe on the ground floor; it was a very pleasant place to dine, with many good things to eat: the service of the white dog is very liberal, and the sweet",1,1
23,So they let out every man his seed without blemish in that,1,1
24,"And the man said unto him, All this we have desired to try this went down only to find that it hath a crating to get a b is hard to do so to have a c it must needs be filthy what a great disappointment after coming",1,1
25,"A pleasant concept, but very crowded and overpriced bad pizza.",1,1
26,The meanest of their cheesesteaks that they do are such as campos a few doors over but they do it well if thou be diligent to judge between the two go to sonnys no contest,1,1
27,hottest steaks in the top of the pile.,1,1
28,"And if ye will be so good as to come unto me, then surely this man in astoria the owner thereof is a pleasant man, which his nights looking after his guests when ye come make sure that ye try",1,1
29,"Terrible service is in my pretty which is delivered by the service of a man; but this delivery service here is a joke that I called to enquire of the woman on the line, that she might not have mercy on me because",1,1
30,"Then said he unto me, We came to lodge in this place last night for few drinks: now therefore immediately depart from this place, lest I be smitten with blindness.",1,1
31,The whole is covered with other reviews of wonderful sandwiches and irresistible home made and manner of dishes great bunch behind the counter that thou must try the place,1,1
32,"And he said unto them, Ye know how that the food was in fine but was not in profusion in this most marvellous of brunches city why is the line so long why is the",1,1
33,It is no better and no worse than chipotle meh.,1,1
34,Stopped here after going to the to go for some wedding planning food was fair but not typical diner food the hot chocolate was also sub par at least to me and,1,1
35,"And make sure that thou request the garden area round about unto the backmost, and leave not without the ricotta and honey appertain it sincerely is unto thee for the chamberlains and for",1,1
36,"Thus far hath this done unto me, as I keep my hope that the food shall be better and that it shall keep me from the evil.",1,1
37,"So came he to the table, and came to the pre lates, and pitcher of the margarita, and did the tequila flights: and the man that served us was very friendly and explained unto us all the courses of",1,1
38,"I have tried every late night food spot in the city, and they are all to kill for they chicken is my least favorite but the others more than make up for it try quac also her most excellent",1,1
39,"And when the host of the wicked came to bring him in, they burnt and stoned and tastelessed all the staff thereof, and brought it up to the top of the house: but this place is so froward and uncircum",1,1
40,My worst indian food was terrible staff and intents; and the ark of God,1,1
41,foodgasm love this place shall go every time that im in ny.,1,1
42,And this is the second restaurant that we have chosen: and the ornament of it is as the appearance of the most beautiful palaces in the land of the living: the service thereof is excellent and every thing that comeeth out,1,1
43,Great eggs and benedict.,1,1
44,Erotic very gayly.,1,1
